S NO,PSR,Loaded Time,Completed Time,Task Type,Exception Time,Exception Reason,Worktime,Status
1,7097256,6/1/2018 6:50:28 PM,6/2/2018 1:16:40 AM,WSC_INST, ,,0.00:04:31,Success
2,7096548,5/30/2018 8:16:53 PM,6/1/2018 11:42:16 PM,WSC_INST, ,,0.00:03:37,Success
3,7096974,5/30/2018 8:32:44 PM,6/2/2018 1:03:26 AM,WSC_INST, ,,0.00:07:17,Success
4,7097907,6/1/2018 7:03:01 PM,6/2/2018 1:35:16 AM,WSC_INST, ,,0.00:03:35,Success
5,7093227,5/30/2018 8:29:28 PM,6/2/2018 12:13:15 AM,WSC_INST, ,,0.00:04:27,Success
6,7095976,5/30/2018 8:13:44 PM,6/1/2018 11:34:14 PM,WSC_INST, ,,0.00:03:33,Success
7,7098034,6/1/2018 6:59:20 PM,6/2/2018 1:31:41 AM,WSC_INST, ,,0.00:04:31,Success
8,7097884,6/1/2018 7:08:07 PM,6/2/2018 1:48:35 AM,WSC_INST, ,,0.00:04:27,Success
9,7096291,5/30/2018 8:23:07 PM,6/2/2018 12:02:03 AM,WSC_INST, ,,0.00:04:23,Success
10,7095963,5/30/2018 6:06:25 PM,6/1/2018 11:12:23 PM,WSC_INST, ,,0.00:06:58,Success
11,7096981,5/30/2018 8:12:13 PM,6/1/2018 11:30:41 PM,WSC_INST, ,,0.00:04:29,Success
12,7097300,6/1/2018 6:48:41 PM,6/2/2018 1:12:09 AM,WSC_INST, ,,0.00:04:31,Success
13,7096537,5/30/2018 8:21:32 PM,6/1/2018 11:57:40 PM,WSC_INST, ,,0.00:04:16,Success
14,7096671,5/30/2018 8:18:28 PM,6/1/2018 11:46:45 PM,WSC_INST, ,,0.00:04:29,Success
15,7098860,6/1/2018 6:53:56 PM,6/2/2018 1:25:36 AM,WSC_INST, ,,0.00:04:22,Success
16,7098172,6/1/2018 7:06:27 PM,6/2/2018 1:44:08 AM,WSC_INST, ,,0.00:05:16,Success
17,7098792,6/1/2018 7:04:42 PM,6/2/2018 1:38:52 AM,WSC_INST, ,,0.00:03:36,Success
18,7095907,5/30/2018 8:15:19 PM,6/1/2018 11:38:39 PM,WSC_INST, ,,0.00:04:25,Success
19,7096202,5/30/2018 8:20:01 PM,6/1/2018 11:53:24 PM,WSC_INST, ,,0.00:06:39,Success
20,7096856,5/30/2018 6:11:34 PM,6/1/2018 11:23:46 PM,WSC_INST, ,,0.00:04:25,Success
21,7095862,5/30/2018 8:27:53 PM,6/2/2018 12:08:48 AM,WSC_INST, ,,0.00:03:32,Success
22,7096334,5/30/2018 6:08:09 PM,6/1/2018 11:16:40 PM,WSC_INST, ,,0.00:04:17,Success
23,7060305,4/12/2018 11:04:07 PM,6/1/2018 10:24:18 PM,DBWLBKUP, ,,0.00:12:02,Success
24,7062088,4/13/2018 9:37:28 PM,6/1/2018 10:59:30 PM,DBWLBKUP, ,,0.00:04:28,Success
25,7060975,4/13/2018 4:03:56 PM,6/1/2018 10:51:14 PM,DBWLBKUP, ,,0.00:04:19,Success
26,7023823,4/16/2018 3:37:54 PM,6/1/2018 11:03:57 PM,DBWLBKUP, ,,0.00:04:41,Success
27,7062335,4/13/2018 9:36:00 PM,6/1/2018 10:55:20 PM,DBWLBKUP, ,,0.00:04:29,Success
28,7044549,3/23/2018 8:26:44 PM,6/1/2018 10:12:00 PM,DBWLBKUP, ,,0.00:22:14,Success
29,7096649,5/30/2018 8:26:20 PM, ,WSC_INST,6/2/2018 12:04:46 AM,Cannot read Name.COMPANY_NAME - The collection has no current row,0.00:02:43,Exception
30,7096704,5/30/2018 6:09:52 PM, ,WSC_INST,6/1/2018 11:19:21 PM,Database - Primary Address not found for the order,0.00:02:40,Exception
31,7096049,5/30/2018 8:31:07 PM, ,WSC_INST,6/2/2018 12:17:13 AM,Failed To perform Step 1 In Navigate Stage 'Select Price of Plan' on page 'Activation and Devices Details' - Unable to match any Active Accessibility elements to the supplied query terms,0.00:03:58,Exception
32,7096041,6/1/2018 6:52:12 PM, ,WSC_INST,6/2/2018 1:20:45 AM,Failed To perform Step 4 In Navigate Stage 'Navigate1' on page 'Activation and Devices Details' - Group delimiters are not balanced.,0.00:04:05,Exception
33,7011201,6/1/2018 6:45:16 PM, ,DBWLBKUP,6/2/2018 1:05:30 AM,FOC or  Proj Install dates are past date or empty,0.00:02:03,Exception
34,7019709,6/1/2018 6:47:00 PM, ,DBWLBKUP,6/2/2018 1:07:31 AM,FOC or  Proj Install dates are past date or empty,0.00:02:00,Exception
35,7011592,5/30/2018 8:09:09 PM, ,DBWLBKUP,6/1/2018 11:25:50 PM,FOC or  Proj Install dates are past date or empty,0.00:02:04,Exception
36,6759182,5/2/2018 3:00:40 PM, ,DBWLBKUP,6/1/2018 11:04:55 PM,M6-PSR is not found in the queue,0.00:00:35,Exception
37,7061379,5/30/2018 8:10:43 PM, ,DBWLBKUP,6/1/2018 11:26:12 PM,M6-PSR is not found in the queue,0.00:00:22,Exception
38,6865694,4/16/2018 4:03:14 PM, ,DBWLBKUP,6/1/2018 11:04:19 PM,M6-PSR is not found in the queue,0.00:00:39,Exception
